,title,price,available_date,listdate,link,location,Location:,contact,description,page_views,Available:,Furnishings:,Ideal tenants:,In the area:,Parking:,Property ID#:,Smoke alarm:,bathrooms,bedrooms
0,20B McDougall Grove,310,Available Fri 3 Mar,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258528500.htm,"Manor Park, Lower Hutt","20B McDougall Grove
Manor Park
Lower Hutt
Wellington",,"2 bedroom unit with 1 bathroom.2 dbl brms with double wardrobes. Open plan kitchen, living and dining.Well insulated with built-in fireplace.Lovely views of Stokes Valley hills through dining ranch slider door/window.Good size lawn with garden shed and a veggie plot kept by previous tenant.Presently property being newly painted throughout and new carpet being installed, hence, no inside photos yet.Suitable for up to 2 tenants.No pets or smokers.",0015,Fri 3 Mar,,Mature single or couple who love gardening.,Limited with Silverstre­am being the closest.,Off street parking and garage available to suitable tenant. Shared drive,FDT592,Yes,1,2
1,402/15 Holland Street,315,Available Sat 18 Feb,Listed Today,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258346745.htm,"Te Aro, Wellington","402/15 Holland Street
Te Aro
Wellington
Wellington",Mike Seagar,"1 bedroom apartment with 1 bathroom.A modern, sunny FULLY FURNISHED (except linen) studio apartment with living/bedroom, kitchen and bathroom.  Situated in the sought-after Monvie apartments in a very central location. Features include:* Appliances include fridge with freezer compartment, dishwasher, washing machine/drier combo* Fully insulated* Secure building* TV with Free to Air* Balcony* Preferred minimum term 12 months** NO LETTING FEE**To arrange viewings contact Mike 04 479 4683Independent professional property manager www.activeproperty.co.nzSuitable for up to 2 tenants.No pets or smokers.",0170,Sat 18 Feb,"Fully furnished, fridge with freezer compartmen­t, dishwasher­, washing machine/dr­ier combo, TV",Reliable tenant(s) with proven renting record and good referees,"Courtenay hospitalit­y precinct, CBD, retail, Te Papa, Waitangi Park etc.",Not applicable,FDT099,Yes,1,1
2,308/169 The Terrace,295,Available Sat 25 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257575844.htm,"Wellington Central, Wellington","308/169 The Terrace
Wellington Central
Wellington
Wellington",Quinovic Vivian St,"1 bedroom apartment with 1 bathroom.This studio apartment is located on The Terrace for an easy stroll into the city and beyond.It has views towards the hills and is facing north for afternoon sun so is light and bright.Features include: Furnished (no linen) studio apartment with a wall mounted flat screen TV.  The galley style kitchen comes with good cooking facilities including full oven, hob and rangehood.The bathroom is separate with corner shower, vanity and toilet.Shared laundry facilities onsite that are coin operated.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: VS180104",0645,Sat 25 Feb,"Oven, range hood, bar fridge, electric hob x 2 burner, microwave, oil filled heater",,,Not Specified,,,1,1
3,7/84 Freyberg Street,285,Available Tue 21 Feb,Listed Yesterday,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257229991.htm,"Lyall Bay, Wellington","7/84 Freyberg Street
Lyall Bay
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.Compact 1 brm upstairs apartment (14 external stairs), well insulated (wool ceiling insulation and carpet) recently given interior facelift, easy living - low maintenance.Great beach suburb location with good bus service, cafe culture & excellent shopping close by. 3 min walk to Lyall Bay Beach (including Maranui & several other cool Cafes!) or bus - good service 10 min intervals most of day.Offstreet carpark, secure letterbox, own wheelie for recycling & free rubbish collection (in a shared wheelie).Best suit single mature professional lady who will take care of it.No smoking or pets.Light & sunny with North facing windows in bedroom & living roomsBedroom - built in large wardrobe + hot water cupboard for keeping your linen dryBathroom/laundry - shower only (mains pressure), handbasin & tub, washing machine & ducted dryer, Separate toiletKitchen - fridge, new range hood, quite roomy cupboard space incl pantry and breakfast bar.Living/Dining room.FURNITURE AVAILABLE BEFORE 20 FEBFor sale: Queen bed.Free: 2 seater sofa available from previous tenantQuiet neighbours, shared outside areas - parking, grass strips & washing line (no gardening to do but you can sit outside on the back lawn in summer).Contact Sebastian on 022 093 4774 or Josephine 027 211 3116 for viewingsSuitable for one tenant.No pets or smokers.",0897,Tue 21 Feb,"Fridge/Fre­ezer, Oven (with range hood), Washing Machine, dryer. 2 bars stools, TV stand.",Best suit single mature profession­al lady who will take care of it.,"3 min walk to Beach or bus   near airport,ca­fes, 3 supermarke­ts in Kilbirnie, Lyall bay retail park.",Free off street parking,FDQ498,Yes,1,1
4,N405A/28 Torrens Tce,340,Available Thu 16 Feb,"Listed Thu, 2 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254283956.htm,"Wellington Central, Wellington","N405A/28 Torrens Tce
Wellington Central
Wellington
Wellington",Sheila Molnar,"1 bedroom apartment with 1 bathroom.Courtyard facing, spacious  (approx. 28m2) top floor studio unit.  *** Viewing***Please book with viewing tracker or call/text Sheila 0274 150 510. Minimum lease 3 months.*** 100% current earthquake code*** Free internet 50GB per month*** Architecturally designed, modern quiet and well managed complexCuba Quarter location - a vibrant area rich in culture and the arts, cafes, shopping and entertainment and yet offers a relaxed low rise urban lifestyleFor more info please:email us at info@property-plus.co.nztext Sheila Molnar on 0274 150 510or go to our website http://www.revolucionapartments.co.nz/Follow us on Facebook: https://www.facebook.com/taylorpropertyplusSuitable for up to 2 tenants.No pets or smokers.Agency reference #: N405A",1324,Thu 16 Feb,"Fridge, was­her/drier, dishdraw, leather couch, drop down queen size bed and TV/Stereo system.",Caring profession­al.,"Cafes, restaurant­s, shops, theatres and all that Wellington has to offer.",Secure parking available for additional cost.,FDM614,,1,1
5,Wellington Central,350,Available Tue 28 Mar,"Listed Sat, 28 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250959979.htm,"Wellington Central, Wellington","Wellington Central
Wellington
Wellington",Jae,1 bedroom townhouse with 1 bathroom.studioTop floor penthouse with two single beds0226429979 for your appointment to viewSuitable for one tenant.,2090,Tue 28 Mar,Can provide whiteware and any other  furnishing­s by negotiatio­n,just respectful,"Bus stop at the end of the road,  walkable into town, Newtown shops and nightlife!­!",offstreet partking,FDI422,,1,1
6,"35 Abel Smith Street, Wellington",310,Available Sat 25 Feb,"Listed Fri, 27 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250349944.htm,"Te Aro, Wellington","35 Abel Smith Street, Wellington
Te Aro
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.This modern, furnished studio apartment is in a great position located just off Cuba Street. Within an easy walking distance to Massey University, the CBD and Courtenay Place. Perfect if you are studying in Wellington or require a city pad.Viewing time available daily.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: GM271",1730,Sat 25 Feb,"Fully furnished including, double bed, wardrobe, desk and fully equipped kitchen, plus TV.",,"University­, shops, cafes, restaurant­s and bars.",,FDH546,Yes,1,1
7,510/15 Holland Street,310,Available Fri 10 Mar,"Listed Fri, 27 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250268630.htm,"Wellington Central, Wellington","510/15 Holland Street
Wellington Central
Wellington
Wellington",Quinovic Vivian St,"1 bedroom apartment with 1 bathroom.** To book a viewing (or if scheduled times do not suit) please phone (04) 382 8300 or email showings@quinovic-vivianst.co.nz and include your contact number**Availability date may be negotiable before what is advertised.This fully furnished studio apartment is located in the Monvie Apartments in Holland Street within easy walking distance to Courtenay Place, the CBD and City. Features include modern furnishings including leather couch, flat screen TV and DVD player.  Open plan living/bedroom adjacent to a fully equipped kitchen with laundry alcove, plus a modern bathroom.  Whiteware is included. Suitable for up to 2 tenants.No pets or smokers.Agency reference #: VS130071",1823,Fri 10 Mar,"Bar fridge, 2 ring ceramic bench hob, under bench oven, r/hood, d/washer, combo wash dry",,,(None),,,1,1
8,56A Waerenga Road,330,Available Sat 18 Feb,"Listed Tue, 24 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1248287088.htm,"Otaki, Kapiti Coast","56A Waerenga Road
Otaki
Kapiti Coast
Wellington",,"2 bedroom townhouse with 1 bathroom.Here is your chance to live in a 2 bedroom sunny house.  This very tidy spacious (120m2) & bright townhouse features-Central location to all amenities -Insulation along with new heat pump -Newly painted & new carpet-Separate shower box & bath tub-Separate bathroom, toilet & laundry-Tidy separate kitchen with electric cooking & rangehood-Internal access single garage with an automatic door -Plenty of off street parking-Smoke alarms -Sunny conservatory -Security mesh doors-Easy care & low maintenance fenced section Breakdown of move in costs:4 weeks bond, 2 weeks rent in advance.  No letting fee.  Available from Saturday, 18 February 2017.Viewing: 10.00-11.00 am, 18 February 2017.Those who are interested in and want/s to be considered please email me for a copy of pre-tenancy application form.  Suitable for up to 3 tenants.Smokers OK, no pets",2186,Sat 18 Feb,,,,,FDD946,Yes,1,2
9,"4/59 Ellice St, MtVic",340,Available Mon 6 Feb,"Listed Mon, 23 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1247786597.htm,"Mount Victoria, Wellington","4/59 Ellice St, MtVic
Mount Victoria
Wellington
Wellington",,1 bedroom apartment with 1 bathroom.Click video button to see virtual tourAvailable Monday 6th February (Waitangi Day). Flexible Start date between 6th Feb & Sunday 19th FebViewing times- Saturday 4th Feb 3.15Pm sharp  sharp- Sunday 5th February at 3.15 Pm SharpOther flats available:- 4. Hawker St Mt Victoria ^ Pm SharpiDBR Flat $295 PW See Trade me da for this property.Please do NOT email. Just visit address during advertised times. If you are out of town call 04 2374241.No pets no matter how well behaved. Max 2 people no matter how small the 3rd person is or how much extra you offer. and NO smokers.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: 4/59No Letting Fee,2791,Mon 6 Feb,"Hire fridge, washing machine and dryer. All brand new for $10 each item per week",No pets no matter how well behaved. Max 2 people. and NO smokers.,Near Basin Reserve. 10min walk to Courtney,Coupon and residents available from WCC,FDD197,Yes,1,1
